Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
294,T.J. McConnell\mccontj01,PG,26,PHI,29,0,19.4,2.7,4.9,.538,0.2,0.7,.316,2.4,4.3,.573,.559,0.3,0.3,1.000,0.3,1.7,2.0,3.3,1.0,0.3,1.3,1.6,5.9
295,Doug McDermott\mcderdo01,SF,27,IND,35,0,17.7,2.5,5.1,.486,1.2,3.0,.410,1.2,2.1,.597,.607,0.9,1.0,.857,0.2,1.1,1.3,0.8,0.3,0.1,0.5,1.5,7.0
296,JaVale McGee\mcgeeja01,C,31,LAL,29,29,23.5,5.2,8.4,.626,0.0,0.1,.250,5.2,8.2,.632,.628,1.3,2.0,.667,2.5,4.1,6.7,0.8,0.8,2.6,1.6,2.6,11.8
297,Rodney McGruder\mcgruro01,SG,27,MIA,32,32,30.1,4.0,9.2,.431,1.6,4.1,.392,2.4,5.2,.461,.517,1.1,1.4,.773,1.0,3.4,4.4,2.5,0.8,0.1,1.3,2.4,10.6
298,Alfonzo McKinnie\mckinal01,SF,26,GSW,26,0,15.1,2.3,4.9,.469,0.8,2.0,.385,1.5,2.9,.526,.547,0.5,0.9,.522,1.4,2.5,3.9,0.4,0.2,0.2,0.4,2.1,5.8
299,Ben McLemore\mclembe01,SG,25,SAC,11,0,7.3,0.9,3.2,.286,0.8,2.1,.391,0.1,1.1,.083,.414,0.4,0.5,.667,0.1,0.6,0.7,0.3,0.2,0.2,0.1,0.9,3.0
300,Jordan McRae\mcraejo01,SG,27,WAS,7,0,4.6,0.3,1.6,.182,0.0,0.4,.000,0.3,1.1,.250,.182,0.0,0.0,,0.1,0.6,0.7,0.3,0.1,0.1,0.0,0.0,0.6
301,Salah Mejri\mejrisa01,C,32,DAL,11,0,5.9,0.7,1.2,.615,0.0,0.2,.000,0.7,1.0,.727,.615,0.5,0.5,.833,0.5,1.5,2.1,0.5,0.1,0.1,0.3,1.1,1.9
302,De'Anthony Melton\meltode01,PG,20,PHO,18,10,18.9,2.4,6.2,.393,0.9,2.6,.340,1.6,3.6,.431,.464,0.3,0.3,.833,0.3,2.1,2.4,2.8,1.3,0.2,1.7,2.3,6.1
303,Chimezie Metu\metuch01,PF,21,SAS,19,0,5.5,0.8,2.2,.381,0.0,0.1,.000,0.8,2.1,.400,.381,0.6,0.8,.800,0.4,0.9,1.4,0.6,0.3,0.1,0.5,0.4,2.3
304,Khris Middleton\middlkh01,SF,27,MIL,31,31,31.2,5.8,14.2,.409,2.6,7.2,.369,3.2,7.0,.450,.502,2.9,3.4,.867,0.4,5.5,5.9,3.9,1.2,0.1,2.4,2.6,17.2
